id,nome,siglaPartido,ufLegislacao,email,escolaridade,dataNascimento,sexo,estadoNascimento,cidadeNascimento
204554,ABÍLIO SANTANA,PL,BA,DEP.ABILIOSANTANA@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1965-02-13,M,BA,SALVADOR
204521,ABOU ANNI,PSL,SP,DEP.ABOUANNI@CAMARA.LEG.BR,SUPERIOR,1966-11-06,M,SP,SÃO PAULO
204379,ACÁCIO FAVACHO,PROS,AP,DEP.ACACIOFAVACHO@CAMARA.LEG.BR,SUPERIOR,1983-09-28,M,AP,MACAPÁ
204560,ADOLFO VIANA,PSDB,BA,DEP.ADOLFOVIANA@CAMARA.LEG.BR,SUPERIOR,1981-02-02,M,BA,SALVADOR
204528,ADRIANA VENTURA,NOVO,SP,DEP.ADRIANAVENTURA@CAMARA.LEG.BR,DOUTORADO,1969-03-06,F,SP,SÃO PAULO
121948,ADRIANO DO BALDY,PP,GO,DEP.ADRIANODOBALDY@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1969-09-06,M,GO,GOIÁS
74646,AÉCIO NEVES,PSDB,MG,DEP.AECIONEVES@CAMARA.LEG.BR,SUPERIOR,1960-03-10,M,MG,BELO HORIZONTE
160508,AFONSO FLORENCE,PT,BA,DEP.AFONSOFLORENCE@CAMARA.LEG.BR,MESTRADO,1960-10-15,M,BA,SALVADOR
136811,AFONSO HAMM,PP,RS,DEP.AFONSOHAMM@CAMARA.LEG.BR,SUPERIOR,1962-04-25,M,RS,HULHA NEGRA
178835,AFONSO MOTTA,PDT,RS,DEP.AFONSOMOTTA@CAMARA.LEG.BR,SUPERIOR,1950-01-08,M,RS,PORTO ALEGRE
160527,AGUINALDO RIBEIRO,PP,PB,DEP.AGUINALDORIBEIRO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1969-02-13,M,PB,CAMPINA GRANDE
204495,AIRTON FALEIRO,PT,PA,DEP.AIRTONFALEIRO@CAMARA.LEG.BR,ENSINO FUNDAMENTAL,1959-03-16,M,RS,TENENTE PORTELA
204549,AJ ALBUQUERQUE,PP,CE,DEP.AJALBUQUERQUE@CAMARA.LEG.BR,SUPERIOR,1983-09-26,M,CE,FORTALEZA
178836,ALAN RICK,DEM,AC,DEP.ALANRICK@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1976-10-23,M,AC,RIO BRANCO
160559,ALCEU MOREIRA,MDB,RS,DEP.ALCEUMOREIRA@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1954-06-04,M,RS,OSÓRIO
204413,ALCIDES RODRIGUES,PATRIOTA,GO,DEP.ALCIDESRODRIGUES@CAMARA.LEG.BR,SUPERIOR,1950-10-08,M,GO,SANTA HELENA DE GOIÁS
204545,ALÊ SILVA,PSL,MG,DEP.ALESILVA@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1974-07-04,F,RJ,PETRÓPOLIS
204501,ALENCAR SANTANA BRAGA,PT,SP,DEP.ALENCARSANTANABRAGA@CAMARA.LEG.BR,SUPERIOR,1976-03-14,M,SP,GUARULHOS
160511,ALESSANDRO MOLON,PSB,RJ,DEP.ALESSANDROMOLON@CAMARA.LEG.BR,MESTRADO,1971-10-28,M,MG,BELO HORIZONTE
178972,ALEX MANENTE,CIDADANIA,SP,DEP.ALEXMANENTE@CAMARA.LEG.BR,SUPERIOR,1979-08-22,M,SP,SÃO BERNARDO DO CAMPO
204571,ALEX SANTANA,PDT,BA,DEP.ALEXSANTANA@CAMARA.LEG.BR,ENSINO MÉDIO,1972-06-22,M,BA,SALVADOR
204544,ALEXANDRE FROTA,PSDB,SP,DEP.ALEXANDREFROTA@CAMARA.LEG.BR,ENSINO MÉDIO,1963-10-14,M,RJ,RIO DE JANEIRO
160545,ALEXANDRE LEITE,DEM,SP,DEP.ALEXANDRELEITE@CAMARA.LEG.BR,SUPERIOR,1989-04-18,M,SP,SÃO PAULO
204503,ALEXANDRE PADILHA,PT,SP,DEP.ALEXANDREPADILHA@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1971-09-14,M,SP,SÃO PAULO
178833,ALEXANDRE SERFIOTIS,PSD,RJ,DEP.ALEXANDRESERFIOTIS@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1975-11-29,M,RJ,PORTO REAL
204516,ALEXIS FONTEYNE,NOVO,SP,DEP.ALEXISFONTEYNE@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1967-08-19,M,SP,CAMPINAS
74057,ALICE PORTUGAL,PCdoB,BA,DEP.ALICEPORTUGAL@CAMARA.LEG.BR,SUPERIOR,1959-05-16,F,BA,SALVADOR
